time,open,high,low,close,tick_volume,spread
2025-01-09 14:00:00,1.03011,1.03051,1.02959,1.03033,5665,0.0
2025-01-09 15:00:00,1.03034,1.03191,1.03008,1.0308,8036,0.0
2025-01-09 16:00:00,1.03079,1.03147,1.03053,1.03075,6622,0.0
2025-01-09 17:00:00,1.03075,1.03098,1.02947,1.02994,6395,0.0
2025-01-09 18:00:00,1.02993,1.03012,1.0291,1.02973,4830,0.0
2025-01-09 19:00:00,1.02973,1.03019,1.02937,1.02974,3573,0.0
2025-01-09 20:00:00,1.02974,1.03025,1.0294,1.03002,1985,0.0
2025-01-09 21:00:00,1.03003,1.03022,1.02977,1.0298,1443,0.0
2025-01-09 22:00:00,1.02981,1.03037,1.02981,1.03011,1330,0.0
2025-01-09 23:00:00,1.0301,1.0301,1.02988,1.02989,885,3e-05
2025-01-10 00:00:00,1.02961,1.03016,1.02961,1.03015,1230,3e-05
2025-01-10 01:00:00,1.03011,1.0302,1.02956,1.02965,1330,0.0
2025-01-10 02:00:00,1.02966,1.03004,1.02921,1.02954,2729,0.0
2025-01-10 03:00:00,1.02955,1.03045,1.02936,1.03019,3047,0.0
2025-01-10 04:00:00,1.03018,1.03038,1.02983,1.03018,1670,0.0
2025-01-10 05:00:00,1.03018,1.03033,1.02977,1.02985,1092,0.0
2025-01-10 06:00:00,1.02985,1.02999,1.02935,1.0295,1340,0.0
2025-01-10 07:00:00,1.02951,1.02975,1.02846,1.02857,2174,0.0
2025-01-10 08:00:00,1.02857,1.02884,1.02812,1.02817,2930,0.0
2025-01-10 09:00:00,1.02817,1.02972,1.02811,1.0297,4406,0.0
2025-01-10 10:00:00,1.02971,1.0312,1.02927,1.03027,7530,0.0
2025-01-10 11:00:00,1.03026,1.0306,1.02991,1.03,5624,0.0
2025-01-10 12:00:00,1.02999,1.03059,1.02998,1.03022,4526,0.0
2025-01-10 13:00:00,1.03021,1.03053,1.02989,1.03016,4250,0.0
2025-01-10 14:00:00,1.03017,1.03096,1.02991,1.03055,5111,0.0
2025-01-10 15:00:00,1.03055,1.03118,1.02123,1.02564,46392,0.0
2025-01-10 16:00:00,1.02564,1.02728,1.02444,1.02534,25471,0.0
2025-01-10 17:00:00,1.02533,1.02785,1.02361,1.02504,21899,0.0
2025-01-10 18:00:00,1.02504,1.02513,1.02275,1.02374,13788,0.0
2025-01-10 19:00:00,1.02374,1.02507,1.02328,1.02445,8619,0.0
2025-01-10 20:00:00,1.02445,1.02461,1.02359,1.02416,5154,0.0
2025-01-10 21:00:00,1.02416,1.0249,1.02348,1.02454,5144,0.0
2025-01-10 22:00:00,1.02454,1.02458,1.02371,1.02446,3334,0.0
2025-01-10 23:00:00,1.02445,1.0249,1.02373,1.02414,1793,0.0
2025-01-13 00:00:00,1.02284,1.02467,1.02284,1.02465,1396,0.0
2025-01-13 01:00:00,1.02465,1.02469,1.02389,1.0243,1935,0.0
2025-01-13 02:00:00,1.0243,1.02452,1.02365,1.02424,2403,0.0
2025-01-13 03:00:00,1.02425,1.025,1.02392,1.02417,3918,0.0
2025-01-13 04:00:00,1.02418,1.02453,1.02384,1.02402,2431,0.0
2025-01-13 05:00:00,1.02402,1.02405,1.02127,1.02158,4049,0.0
2025-01-13 06:00:00,1.02157,1.022,1.0207600000000001,1.02118,3037,0.0
2025-01-13 07:00:00,1.02118,1.02204,1.02102,1.02196,2741,0.0
2025-01-13 08:00:00,1.02196,1.0225,1.02144,1.02184,3966,0.0
2025-01-13 09:00:00,1.02182,1.02238,1.02074,1.02152,9123,0.0
2025-01-13 10:00:00,1.02153,1.02314,1.0213700000000001,1.02218,12371,0.0
2025-01-13 11:00:00,1.02218,1.02242,1.01775,1.01934,17384,0.0
2025-01-13 12:00:00,1.01933,1.02074,1.01927,1.0202,8592,0.0
2025-01-13 13:00:00,1.0202,1.02041,1.01861,1.01959,8561,0.0
2025-01-13 14:00:00,1.0196,1.02063,1.01878,1.02026,9250,0.0
2025-01-13 15:00:00,1.02026,1.02209,1.01964,1.02084,10015,0.0
2025-01-13 16:00:00,1.02084,1.02128,1.02003,1.02081,10172,0.0
2025-01-13 17:00:00,1.02082,1.02089,1.01958,1.01969,10941,0.0
2025-01-13 18:00:00,1.01969,1.02175,1.01917,1.02083,8257,0.0
2025-01-13 19:00:00,1.02083,1.02196,1.0207,1.02179,5918,0.0
2025-01-13 20:00:00,1.0218,1.02215,1.02122,1.02161,3920,0.0
2025-01-13 21:00:00,1.02161,1.02162,1.02069,1.02072,3360,0.0
2025-01-13 22:00:00,1.02072,1.02175,1.0207,1.02166,2514,0.0
2025-01-13 23:00:00,1.02167,1.02468,1.02163,1.02444,4214,0.0
2025-01-14 00:00:00,1.02443,1.02736,1.02408,1.02594,2297,0.0
2025-01-14 01:00:00,1.02602,1.02777,1.02509,1.0264,5726,0.0
2025-01-14 02:00:00,1.0264,1.0264,1.02457,1.0248,4279,0.0
2025-01-14 03:00:00,1.02481,1.02502,1.02412,1.02492,5736,0.0
2025-01-14 04:00:00,1.02493,1.02504,1.02384,1.02447,3035,0.0
2025-01-14 05:00:00,1.02447,1.02553,1.02439,1.02484,2523,0.0
2025-01-14 06:00:00,1.02484,1.02551,1.02452,1.02502,1576,0.0
2025-01-14 07:00:00,1.02503,1.02517,1.02423,1.02448,2568,0.0
2025-01-14 08:00:00,1.02449,1.02533,1.02449,1.02527,3991,0.0
2025-01-14 09:00:00,1.02528,1.02662,1.02498,1.02544,9897,0.0
2025-01-14 10:00:00,1.02544,1.02749,1.02529,1.02616,11471,0.0
2025-01-14 11:00:00,1.02615,1.02665,1.02535,1.02597,8904,0.0
2025-01-14 12:00:00,1.02597,1.02637,1.02519,1.026,6509,0.0
2025-01-14 13:00:00,1.026,1.02632,1.02524,1.0254,5055,0.0
2025-01-14 14:00:00,1.02541,1.02552,1.02395,1.02475,7083,0.0
2025-01-14 15:00:00,1.02476,1.02733,1.02409,1.02532,33292,0.0
2025-01-14 16:00:00,1.02531,1.02749,1.02434,1.02685,15670,0.0
2025-01-14 17:00:00,1.02685,1.02958,1.0263,1.02951,15417,0.0
